Country Code,PLEXOS_Region,Node,Country,Alias 1,Alias 2,Latitude,Longitude
AL,AL00,AL00,Albania,Albania,Albanian,41.09771571,20.05563307
AL,AL00_OFF,AL00_OFF,Albania,Albania,Albanian,39.819,18.8692
AT,AT00,AT03,Austria,Austria,Austrian,47.97102846,15.89882726
AT,AT00,AT02,Austria,Austria,Austrian,47.54687478,14.56515568
AT,AT00,AT01,Austria,Austria,Austrian,47.21843937,12.17835215
AT,AT00,AT00,Austria,Austria,Austrian,47.64,14.84
BA,BA00,BA00,Bosnia and Herzegovina,Bosnia and Herzegovina,"Bosnian, Herzegovinian",44.04904432,17.88289712
BA,BA00_OFF,BA00_OFF,Bosnia and Herzegovina,Bosnia and Herzegovina,"Bosnian, Herzegovinian",42.4703,16.8281
BE,BE00,BE03,Belgium,Belgium,Belgian,50.6183731,5.5819881
BE,BE00,BE02,Belgium,Belgium,Belgian,50.711333,4.373417
BE,BE00,BE01,Belgium,Belgium,Belgian,51.105863,3.4469208
BE,BE00,BE00,Belgium,Belgium,Belgian,50.8,4.72
BE,BE01_OFF,BE01_OFF,Belgium,Belgium,Belgian,51.44376911,2.853131243
BG,BG00,BG02,Bulgaria,Bulgaria,Bulgarian,42.13821359,24.44591592
BG,BG00,BG01,Bulgaria,Bulgaria,Bulgarian,42.80967947,25.77233628
BG,BG00,BG00,Bulgaria,Bulgaria,Bulgarian,42.78,25.1
BG,BG01_OFF,BG01_OFF,Bulgaria,Bulgaria,Bulgarian,42.88459735,28.75415231
CH,CH00,CH00,Switzerland,Switzerland,Swiss,46.76295643,8.312803173
CY,CY00,CY00,Cyprus,Cyprus,Cypriot,35.16200162,33.42395924
CY,CY00_OFF,CY00_OFF,Cyprus,Cyprus,Cypriot,34.50064983,32.62520817
CZ,CZ00,CZ00,Czech Republic,Czech Republic,Czech,49.59972931,16.68874412
CZ,CZ00,CZ02,Czech Republic,Czech Republic,Czech,49.59972931,16.68874412
CZ,CZ00,CZ01,Czech Republic,Czech Republic,Czech,49.9310819,14.51030046
DE,DE00,DE07,Germany,Germany,German,49.04173814,10.98095319
DE,DE00,DE06,Germany,Germany,German,48.6183634,9.306535226
DE,DE00,DE05,Germany,Germany,German,50.36187681,8.3568402
DE,DE00,DE04,Germany,Germany,German,51.13020105,12.16423053
